ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
92395,336569.28,211342.34,0.57,1913,2119,128,1,0,3816426,4161,143162,4,14214,1,15966,2,0,0,0,0,0,0,0,0,0,0,4135687,4179
92397,315228.23,206059.23,2.45,14,232,491,573,179,1832969,1489,0,0,0,0,0,0,0,0,0,0,3578,1,0,0,2257,1,1994146,1477
92398,266806.13,183956.06,0.67,36,69,1,0,0,113709,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133352,115
92399,416045.72,280795.15,1.11,1270,3944,814,460,81,7866800,6570,1570592,17,257099,14,847708,16,52778,13,291715,7,63706,8,80149,2,2588,2,8466217,6283
92401,266254.74,172199.26,0.29,29,8,0,1,0,35504,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37020,36
92403,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92404,307420.67,205629.54,0.37,3557,997,237,90,12,4580857,4893,351309,11,90669,14,133210,6,38108,11,84514,6,152642,16,34385,6,23423,5,4863458,4817
92405,281260.79,187410.19,0.36,1838,733,75,22,1,2359314,2668,124166,5,31101,4,87420,3,10337,3,7225,2,63659,8,1176,2,0,0,2527409,2639
92406,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92407,369446.29,229380.25,0.83,3236,2711,851,348,157,7219127,7304,455447,8,34053,5,290130,6,11597,5,90844,7,116395,15,6651,4,6822,2,7861112,7126
92408,270844.69,178034.45,0.41,445,259,16,2,0,605332,723,0,0,0,0,0,0,0,0,230599,1,0,0,26436,1,0,0,633072,710
92410,243027.51,158436.68,0.36,1297,686,15,1,0,1706481,1999,310087,2,12347,1,324337,2,0,0,0,0,34265,7,0,0,4410,1,1777244,1936
92411,231848.25,150276.77,0.34,1131,526,27,0,0,1346106,1684,0,0,0,0,0,0,0,0,20441,3,86836,16,0,0,2175,2,1404699,1655
92415,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92427,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92501,333088.07,224818.41,0.4,1228,559,69,17,0,1771081,1873,30284,2,0,0,23791,1,0,0,15432,1,0,0,3788,1,0,0,1932687,1886
92502,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92503,407122.73,265485.85,0.59,5581,2527,1198,199,18,10070122,9523,891053,14,63433,5,377550,9,13901,1,80806,4,24873,5,38184,3,0,0,11213120,9589
92504,378898.85,253453.32,0.41,3602,1732,250,31,0,6091515,5615,884303,6,51156,4,391397,5,6334,3,0,0,49655,4,0,0,8519,1,6644588,5609
92505,348507.76,231851.52,0.32,2978,1033,110,17,0,3917305,4138,97250,6,64099,2,3017,3,31664,1,0,0,23940,3,0,0,5454,1,4293316,4157
