ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
93527,306522.48,219971.96,1.14,10,200,29,7,0,226373,247,104205,4,0,0,29397,3,0,0,0,0,0,0,0,0,0,0,261523,251
93528,161617.27,112205.45,0.66,5,9,0,0,0,7870,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10462,15
93529,546669.52,372975.13,2.95,1,18,46,138,71,457018,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526867,274
93530,225800.0,171850.0,1.0,0,1,0,0,0,780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,2
93531,488141.83,308623.97,2.98,0,1,18,54,20,137849,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149794,94
93532,310279.25,204899.27,2.28,6,152,69,223,38,655740,490,695630,6,18260,1,309331,5,23341,1,0,0,0,0,0,0,0,0,711450,506
93534,310653.38,202218.22,0.3,2144,903,9,0,0,2830561,3056,389364,17,408171,46,121969,9,100663,13,117361,11,444068,52,27269,5,31283,9,3105916,3075
93535,331336.73,210490.72,0.45,3967,3015,67,17,3,6449092,7069,1229788,34,698114,77,530763,21,89056,27,446814,42,1479567,154,85231,19,100222,27,7060764,7038
93536,437366.13,282545.96,0.5,4568,4012,103,19,13,10707426,8715,769085,36,740064,51,132471,21,170654,24,703582,35,598618,63,179567,18,51111,17,11642333,8495
93539,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93541,449916.93,299042.62,1.56,2,47,11,9,5,109107,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129728,78
93542,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93543,304212.82,204617.84,1.09,50,1389,171,3,4,1597475,1617,949924,5,118119,10,344896,6,7311,2,8933362,59,951198,59,3565168,44,192807,21,1623323,1546
93544,378379.4,249534.53,1.09,32,89,36,6,0,222951,163,0,0,0,0,0,0,0,0,316125,2,42107,4,120619,2,6320,2,253771,172
93545,360806.14,254737.11,0.75,56,136,6,0,0,203631,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230333,204
93546,832526.48,567756.84,1.98,12,427,705,335,40,3149488,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816837,1610
93549,251935.0,178407.71,0.99,3,12,1,1,0,18094,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17943,16
93550,316037.2,200362.77,0.29,4726,1488,130,27,1,5876122,6373,1097457,30,754381,72,406895,14,116416,29,578331,52,1882852,200,103356,24,172814,37,6362329,6339
93551,483246.14,309973.64,0.57,4013,2474,481,180,33,10258736,7181,738970,29,824905,52,231710,20,206200,30,508360,34,505027,45,85127,13,64909,11,11274428,7053
93552,375458.01,236953.72,0.31,3337,1195,109,11,0,4792471,4652,359659,21,655220,54,148808,10,115620,27,807490,60,1273931,147,120158,19,72215,24,5189286,4602
93553,356002.48,243009.13,1.49,5,160,119,11,3,389538,297,0,0,106086,2,0,0,1878,1,5165611,31,121381,7,1767363,26,31721,4,388764,272
93554,197624.66,141654.3,0.43,8,6,0,0,0,8834,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9508,13
93555,315924.39,228460.2,0.88,537,3873,19,0,0,3044565,4429,53225,2,5845,1,43002,2,0,0,0,0,0,0,0,0,0,0,3503264,4530
93556,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93558,154888.0,77444.0,0.0,1,0,0,0,0,719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,3
93560,311511.74,205934.74,0.66,857,1373,78,2,0,1919941,2311,399164,7,9906,1,113407,2,457,1,17597,1,132338,11,0,0,3450,1,2190480,2394
93561,350176.24,234576.4,1.49,532,3121,1711,733,140,6630361,6238,712766,4,346768,2,170174,2,205023,1,0,0,7405,1,17820,1,0,0,7687345,6407
93562,228442.9,160214.01,0.68,61,118,3,0,0,128385,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146479,193
93563,292308.94,217279.68,2.71,1,0,4,15,1,19857,21,10474,1,0,0,7081,1,0,0,155988,3,27867,1,17324,2,6663,1,23662,19
93581,379000.0,189500.0,1.0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93584,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93590,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93591,264040.57,174054.85,1.08,10,710,75,0,0,662077,795,296808,2,43149,2,36822,1,0,0,8190,4,194783,22,3885,3,1265,2,746289,820
93592,159671.98,117507.54,1.0,0,2,0,0,0,1161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,2
93601,394273.05,265643.57,2.27,4,55,152,142,10,579526,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664666,379
93602,346004.49,241341.36,2.78,0,35,153,452,70,1024262,709,15546101,40,286760,18,5189135,38,93051,14,9083218,31,118255,7,4108229,30,30609,4,913341,602
93603,243650.1,164602.52,2.46,1,2,5,10,1,23825,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30305,20
93604,506486.53,340704.1,2.13,4,191,25,224,18,823994,462,0,0,5170,1,0,0,814,1,0,0,11265,1,539,1,0,0,996215,475
93605,294570.78,212458.44,2.99,3,0,0,44,7,86891,55,2388852,7,0,0,597523,7,0,0,2877070,7,28716,2,1290627,6,8734,2,43375,31
93606,233004.34,162633.94,0.07,122,9,0,0,0,110076,132,0,0,0,0,0,0,0,0,0,0,20292,2,0,0,0,0,120063,132
93607,272400.0,204500.0,0.0,1,0,0,0,0,755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93608,206623.17,142933.41,0.1,38,4,0,0,0,31709,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37968,42
93609,290997.44,198023.22,0.33,292,145,0,0,0,368765,438,19284,1,0,0,10636,1,0,0,0,0,0,0,0,0,0,0,403912,446
93610,329270.22,229704.25,0.34,1253,631,7,0,0,1691249,1891,128648,1,9630,1,128129,1,4340,1,205,1,0,0,0,0,0,0,1911209,1940
93611,411739.79,271912.5,0.28,6211,2422,18,2,0,8106885,8653,894041,18,26499,3,426075,11,957,1,100639,10,484158,41,15397,4,32169,8,8964595,8709
93612,305419.4,208601.21,0.24,2464,789,0,0,0,2550110,3253,704995,6,0,0,289075,5,0,0,39682,5,151453,17,0,0,0,0,2799802,3250
93613,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93614,371447.51,247630.16,2.23,25,451,1073,776,142,3556591,2467,279461,3,0,0,119363,2,0,0,55000,1,328597,2,36000,1,92862,1,4147609,2535
93615,244556.75,166369.18,0.31,232,106,0,0,0,265088,338,0,0,40000,1,0,0,8450,1,0,0,0,0,0,0,0,0,274259,328
93616,272745.23,195422.01,0.32,135,64,0,0,0,169881,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187793,198
93618,298487.19,193242.53,0.41,1620,1104,2,0,0,2012763,2726,274839,4,21789,3,136972,4,8870,2,0,0,29874,2,0,0,0,0,2216396,2787
93619,504972.02,325479.99,0.45,6260,3490,350,92,33,10488451,10225,888482,17,115500,3,277500,8,90350,1,198586,25,549835,45,15363,8,17732,6,12080437,10505
93620,278310.83,192574.91,0.2,927,228,0,0,0,864197,1155,340020,2,0,0,110779,2,0,0,0,0,250,1,0,0,0,0,972057,1173
93621,306535.7,202202.3,2.21,0,4,19,4,4,39588,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57072,37
93622,261789.69,183313.58,0.11,749,96,0,0,0,689354,845,7407,1,0,0,5622,1,0,0,0,0,19643,3,0,0,0,0,784086,888
93623,403763.07,283518.78,2.64,1,2,20,48,1,112330,72,12525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132941,71
93624,296213.01,197910.91,0.22,2,1,0,0,0,2517,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,3
93625,367742.91,245005.42,0.34,652,330,0,0,0,857064,981,17445,2,0,0,0,0,0,0,44174,3,17226,1,8000,2,0,0,971983,1028
93626,562466.35,365983.87,1.69,28,141,216,34,15,661012,433,38949,1,13262,1,394,1,0,0,8790,1,18273,1,14030,1,0,0,770400,452
93627,147480.0,110610.0,0.0,1,0,0,0,0,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,1
93628,354701.51,255501.62,2.94,0,1,6,86,1,136943,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146073,93
93629,556000.0,0.0,1.0,0,1,0,0,0,1002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,1
93630,309652.11,211885.05,0.15,1753,314,0,0,0,1823576,2067,193557,3,3000,1,38503,1,0,0,4200,1,110705,11,2100,1,0,0,1995549,2100
93631,394654.95,209974.47,0.44,1262,1002,2,0,0,2001254,2266,0,0,5000,1,0,0,4340,1,10709,1,2551,1,2800,1,0,0,2223355,2339
93633,225055.37,146724.97,2.94,0,4,1,25,6,37720,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37579,35
93634,362814.23,242027.93,2.24,5,29,59,74,4,243375,172,5308992,15,62976,3,1315674,13,16278,3,4494487,17,13608,1,1667068,13,12071,1,199768,137
93635,351994.33,242212.85,0.27,4233,1423,2,0,24,4586061,5682,148135,5,2973,1,71006,3,0,0,25000,1,26456,2,4000,1,12893,1,5154016,5888
93636,406817.16,275083.7,0.53,1429,1231,53,24,15,3068029,2752,22377,2,0,0,16913,3,0,0,52842,2,139218,11,15208,3,5241,3,3824158,3076
93637,338378.53,228359.43,0.22,3348,940,0,0,0,3773877,4288,88807,7,23009,5,10542,4,4500,2,106644,8,188331,22,11710,1,12479,2,4267440,4392
93638,284898.88,192650.27,0.37,3020,1552,46,9,8,4138734,4635,873652,14,0,0,408224,10,0,0,49487,8,317512,36,18133,5,19632,7,4591949,4613
93640,242159.67,158459.81,0.07,1037,81,0,0,0,823130,1118,103658,2,0,0,6894,2,0,0,0,0,16721,2,0,0,0,0,887423,1141
93641,284006.12,187205.52,2.2,0,15,32,23,3,104930,73,898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119400,74
93642,665407.82,435484.77,3.0,0,0,0,1,0,3018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93643,352892.87,241687.84,2.85,1,20,45,397,17,734115,479,1570998,8,34547,3,606556,8,23056,3,385887,4,21148,3,441115,6,1000,1,778412,471
93644,378120.41,245198.83,2.23,18,319,563,521,92,2381400,1512,293720,5,0,0,214730,2,440,1,519819,1,0,0,100000,1,0,0,2775831,1588
93645,456361.8,316690.23,2.62,0,2,11,25,0,74241,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88730,41
93646,242389.33,164296.55,0.28,513,185,4,0,0,549504,702,0,0,0,0,0,0,0,0,0,0,5400,1,0,0,5500,1,589974,687
93647,263648.37,172469.78,0.34,541,249,10,0,0,615282,800,14570,1,6225,1,0,0,0,0,0,0,29414,2,0,0,0,0,650946,779
93648,241757.94,168073.35,0.37,841,493,0,0,0,997973,1334,1144711,5,0,0,295349,4,0,0,0,0,43954,5,0,0,479,1,1062690,1302
93649,786800.0,393400.0,0.0,1,0,0,0,0,1273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93650,255048.95,173839.33,0.28,167,64,0,0,0,172985,231,181848,2,0,0,25759,2,0,0,0,0,17181,3,0,0,0,0,185944,231
93651,447252.97,304919.7,2.08,2,74,186,97,4,616851,363,0,0,0,0,0,0,0,0,28415,3,22083,2,37029,2,3276,1,696077,358
93652,251942.3,168249.48,0.34,17,9,0,0,0,27647,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29924,26
93653,380877.47,266122.54,1.97,0,58,57,47,3,257046,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319593,175
93654,328523.4,210690.05,0.39,2000,1277,3,1,1,2793929,3282,86341,3,15673,2,3540,2,0,0,2500,1,44749,6,0,0,15710,3,3093730,3347
93656,274377.96,191237.15,0.31,366,163,0,0,0,433707,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474440,538
93657,344724.25,233149.46,0.43,3000,1551,112,22,46,4261648,4732,96516,9,12630,2,53840,2,6340,2,116208,12,283645,30,18102,3,16106,5,4728715,4713
93660,248655.22,173259.46,0.12,299,40,0,0,0,284217,339,0,0,8373,1,0,0,0,0,0,0,7597,1,0,0,0,0,304218,345
93661,255095.25,178567.24,0.0,2,0,0,0,0,1803,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0
93662,293166.21,198971.75,0.44,1791,1405,2,3,0,2423271,3201,666226,5,14630,2,393567,3,4340,1,506738,3,65963,6,276255,1,11105,2,2705989,3259
93664,500245.94,341171.89,2.94,9,57,69,606,155,1485462,895,6722415,19,266435,12,2135887,16,27443,7,7164827,33,69795,3,3342595,30,15194,2,1358701,809
93665,259113.9,188317.79,0.17,35,7,0,0,0,34549,42,0,0,0,0,0,0,0,0,17809,1,0,0,1455,1,0,0,34235,47
93666,228176.56,138229.93,0.12,7,1,0,0,0,5210,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5646,9
93667,338805.09,231956.63,2.37,0,61,117,153,19,507245,350,12151,1,10422,1,0,0,850,1,79170,5,36043,3,10219,6,3592,2,522721,337
93668,293401.48,205457.73,0.13,83,13,0,0,0,88896,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88948,91
93669,335606.59,228581.03,3.11,0,0,3,69,13,127604,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138985,87
93670,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93673,199279.74,131462.39,0.15,42,7,0,0,0,34874,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37320,51
93675,329281.58,209853.14,1.98,4,159,207,61,49,667159,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757250,499
93701,271204.86,183531.56,0.2,308,79,0,0,0,334541,387,208688,2,1870,1,50000,1,0,0,19289,2,23076,2,41111,2,0,0,367274,393
93702,237608.91,160492.91,0.15,2435,414,0,0,1,2169739,2850,542575,10,0,0,255123,8,0,0,127125,18,298227,40,43524,11,8808,3,2349050,2905
93703,254504.48,171951.45,0.19,2275,540,0,0,0,2112165,2816,84066,6,42367,3,5836,1,10698,2,22396,7,354257,43,1887,2,11194,4,2268744,2835
93704,370998.48,253877.94,0.26,2836,982,2,0,0,3640036,3819,931698,7,53489,2,261203,4,4340,1,21198,4,135117,17,3604,1,2632,2,4022027,3892
93705,271437.55,186731.41,0.18,3166,707,1,0,0,2939247,3874,216243,10,70404,6,33766,4,1106,1,176884,22,464643,57,16942,7,9159,3,3195408,3899
93706,261122.68,178461.59,0.2,1906,471,1,0,0,2052276,2378,71811,14,49996,8,8145,3,9060,2,235499,24,665255,78,34787,8,8591,3,2243025,2398
93710,332891.66,228366.31,0.25,2464,825,0,0,0,2690268,3289,131925,6,16370,2,27092,3,0,0,361641,16,295594,30,38374,6,21309,9,2923543,3288
93711,534248.14,348642.49,0.31,4476,1953,11,1,0,7768690,6441,558832,13,23976,4,267814,7,4200,2,194193,23,372179,33,82786,10,7048,3,8485619,6474
93714,179400.0,137050.0,1.0,0,1,0,0,0,617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93717,1237000.0,650000.0,1.0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,1
93720,442199.87,288651.61,0.31,5030,2210,2,1,0,7449758,7243,520362,9,34865,3,180957,4,0,0,163051,25,547008,53,17569,6,22547,7,8129325,7164
93721,334134.89,229323.33,0.13,62,9,0,0,0,60590,71,0,0,0,0,0,0,0,0,30532,2,11496,1,2465,2,0,0,62923,72
93722,336304.34,225403.23,0.19,9019,2144,9,0,0,9567663,11172,1640237,21,81870,12,284114,12,8952,4,1090614,123,1737429,180,143819,39,58143,21,10415618,11069
93723,437273.39,289054.72,0.21,1490,383,0,1,0,1751030,1874,370774,7,0,0,258562,3,0,0,262016,23,193487,14,44348,9,4352,2,1980148,1943
93724,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93725,288154.98,189923.0,0.18,1671,365,2,0,0,1725261,2038,165988,14,95099,2,58103,6,37436,1,143662,14,475862,46,26534,5,13969,5,1840457,2030
93726,283596.59,195283.51,0.25,2998,986,0,0,0,3160227,3984,609808,12,3556,2,65064,5,1599,2,116758,16,444995,50,5644,3,14637,3,3459696,4012
93727,359742.71,237046.0,0.23,8562,2500,2,0,0,8837639,11064,975869,23,141500,9,396702,10,29704,6,642874,84,1506176,152,70395,26,98250,18,9880915,11347
93728,285983.83,196203.88,0.23,1197,359,0,0,0,1255012,1557,1782286,10,0,0,514496,6,0,0,18875,4,218990,27,8884,3,2400,1,1384523,1592
93729,1566000.0,1174500.0,0.0,1,0,0,0,0,2817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93730,595965.91,382089.74,0.32,1910,853,19,1,0,3199269,2783,701432,5,0,0,177896,2,0,0,37458,6,131112,9,61122,4,0,0,3601191,2815
93737,444891.96,289882.71,0.32,815,311,27,0,0,996401,1153,2000,1,0,0,6925,1,0,0,78027,8,66822,6,26140,7,8528,2,1169234,1264
93740,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93750,523500.0,314100.0,0.0,2,0,0,0,0,1900,2,0,0,0,0,0,0,0,0,599604,1,0,0,208930,1,0,0,0,0
93760,244900.0,183700.0,0.0,1,0,0,0,0,1205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1
93901,426122.95,305693.71,0.37,1865,1112,2,0,0,2934247,2979,551753,3,0,0,188098,3,0,0,0,0,0,0,0,0,0,0,3282529,3003
93905,326529.2,228035.38,0.29,3223,1246,37,0,0,3643899,4506,123730,5,0,0,70167,2,0,0,8483,1,0,0,4701,1,0,0,4040408,4495
93906,362276.2,256842.08,0.29,4836,1991,5,0,0,5962662,6832,425881,4,0,0,247634,3,0,0,0,0,0,0,0,0,0,0,6570033,6756
93907,433891.43,307473.05,1.39,790,1304,654,653,57,4075178,3459,51551,3,0,0,25351,2,0,0,0,0,0,0,0,0,0,0,4654009,3471
93908,684823.52,491454.64,1.53,430,1066,639,595,17,4461941,2746,1251783,13,118916,4,43720,6,26511,2,3364953,27,214473,16,1369172,23,23685,14,5186198,2745
93912,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93915,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93920,1283484.86,774997.02,2.32,0,43,17,32,24,476128,116,0,0,0,0,0,0,0,0,3153240,1,0,0,804454,1,0,0,541801,121
93921,906405.14,567592.92,1.6,43,500,73,237,3,1577533,857,0,0,0,0,2500,1,0,0,0,0,0,0,0,0,0,0,1697936,859
93922,2528880.1,686156.22,1.32,1,0,1,0,0,6333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6698,2
93923,1135155.64,743797.74,1.95,64,1098,543,993,49,6217280,2747,16478,1,0,0,0,0,0,0,367356,2,3954,1,379672,2,0,0,7317867,2890
93924,763073.36,535238.95,2.62,9,119,341,960,48,2990018,1477,1432664,3,0,0,739287,2,0,0,17666592,32,48946,2,6410369,28,2031,3,3460859,1445
93925,491154.27,342911.83,0.92,57,38,2,19,3,153890,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178350,114
93926,347030.69,246566.88,0.25,689,233,1,0,0,792303,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879647,903
93927,314676.85,221876.7,0.41,1046,508,25,32,3,1232848,1614,0,0,0,0,0,0,0,0,20875,1,0,0,1417,1,0,0,1416010,1643
93928,359713.67,228436.11,1.0,0,4,0,0,0,9145,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6458,3
93930,348582.77,245756.06,0.58,797,635,75,30,3,1314683,1540,80783,2,0,0,40732,1,0,0,0,0,0,0,0,0,0,0,1509295,1552
93932,474444.69,350771.44,1.12,6,41,13,0,0,78927,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99430,65
93933,435065.48,302187.16,0.46,1553,1077,56,16,1,2310052,2703,1299,1,0,0,0,0,0,0,0,0,44177,1,0,0,40518,1,2633563,2748
93940,681599.85,483925.31,1.33,919,1428,433,834,6,5159906,3621,251972,1,21554,1,76926,1,20646,1,0,0,0,0,0,0,0,0,5936501,3662
93944,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93950,553892.89,397303.73,0.69,1020,1403,107,54,1,2696500,2585,377863,3,0,0,46362,3,0,0,0,0,0,0,0,0,0,0,3066547,2618
93953,1663544.03,964480.19,1.71,118,491,341,328,10,3478930,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4030050,1343
93954,271018.8,180846.08,0.9,3,19,1,0,0,18856,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18419,21
93955,376327.88,269536.22,0.39,1896,1118,27,3,1,2518097,3045,3834,1,0,0,3373,2,0,0,0,0,0,0,0,0,0,0,2781994,3037
93960,368479.24,255052.17,0.32,1399,639,4,1,2,1605695,2045,4241,1,0,0,2532,1,0,0,0,0,0,0,0,0,0,0,1801437,2020
93962,422615.25,312395.38,0.39,77,47,1,0,0,129503,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149266,128
94002,699281.13,499387.61,1.22,1153,1737,978,578,0,5641088,4445,743213,5,0,0,210890,1,0,0,138866,1,0,0,147678,1,0,0,6270183,4464
94005,634879.33,437335.87,1.13,250,213,206,66,3,889827,738,221700,1,0,0,6557,1,0,0,0,0,0,0,0,0,0,0,994988,749
94010,1429764.49,949024.69,1.16,1565,3507,813,927,0,15779996,6812,268341,1,0,0,155965,2,0,0,0,0,0,0,0,0,0,0,17487760,6891
94011,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94013,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94014,471924.98,328925.22,0.4,3276,1254,276,42,8,4770058,4856,1150999,6,3895,1,329287,6,0,0,0,0,0,0,0,0,0,0,5195489,4855
94015,484505.36,339903.24,0.25,5654,1902,6,0,0,7232414,7561,1060928,6,0,0,337542,3,0,0,0,0,0,0,0,0,0,0,7791865,7490
94016,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94017,739000.0,554250.0,0.0,1,0,0,0,0,1773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,1
94018,689490.44,497739.38,0.61,403,245,9,52,3,929596,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052641,739
94019,766207.69,542511.33,0.54,1408,909,89,79,4,3294776,2490,0,0,0,0,0,0,0,0,0,0,13785,1,0,0,1045,1,3639369,2506
94020,649983.94,450521.25,2.25,3,84,66,154,9,583568,316,0,0,0,0,0,0,0,0,2722,1,26706,3,0,0,6718,3,702027,330
94021,679450.61,488898.15,2.49,0,2,20,18,2,82572,43,0,0,0,0,0,0,0,0,118304,3,0,0,539,2,0,0,83164,40
94022,1561098.23,977810.09,1.11,1121,1608,690,417,6,9249005,3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502031,3889
94023,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94024,1072583.29,739100.4,0.75,2325,1997,362,341,10,8624527,5034,615228,2,0,0,305070,1,0,0,0,0,0,0,0,0,0,0,9597421,5019
94025,908805.71,616109.24,1.12,935,3352,1446,87,0,9037924,5820,957420,11,0,0,570410,8,0,0,0,0,0,0,0,0,0,0,10114054,5819
94026,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94027,3575252.91,1842466.83,1.54,30,633,718,41,1,7645519,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8901693,1445
94028,1745479.99,1055912.49,1.81,38,619,402,390,17,4776254,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5665333,1544
94030,688647.84,487968.42,0.71,1741,1302,535,71,0,4390683,3649,345128,2,0,0,125234,1,0,0,0,0,0,0,0,0,0,0,4776781,3649
94035,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94037,720059.43,510005.34,1.42,79,274,241,47,5,948724,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061895,652
94038,694496.55,482208.24,0.55,275,182,24,10,2,668135,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712813,493
94040,666314.78,471824.34,0.39,1918,1192,15,0,0,3396192,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740654,3137
94041,604645.52,430377.18,0.38,700,424,4,0,0,1148889,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235056,1113
94043,495149.11,345272.94,0.31,1324,598,0,0,0,1623921,1922,58053,1,0,0,782,1,0,0,0,0,0,0,4695,1,0,0,1761170,1893
94044,528112.0,377543.57,1.12,2500,2312,1471,943,12,7648987,7238,1005958,4,10486,1,402321,3,2478,1,0,0,0,0,22119,1,0,0,8445875,7273
94060,637493.16,424625.45,1.68,36,46,59,50,3,371955,195,0,0,0,0,0,0,0,0,1905471,6,139941,4,214165,5,15481,2,417275,190
94061,624156.84,444423.25,0.6,2261,1937,373,23,0,5327597,4593,75249,3,0,0,11389,2,0,0,908124,1,0,0,324873,1,0,0,5800003,4548
94062,1252795.45,800877.79,1.27,1330,2117,1248,733,22,13433586,5450,191217,3,0,0,79940,2,0,0,11892,1,27198,1,36558,2,0,0,15065285,5484
