ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,Total CAT Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium,Avg CAT Loss,Avg Non-CAT Loss,Avg CAT Claims,Avg Non-CAT Claims,Avg Premium 2021,Claim Frequency,Average Claim Severity
90062,228534.93,0.36,1056,585,0,0,0,0,0,8428,1,0,0,21208,3,1729587,1699,946.5642900670323,12.923826934795857,5.135892748324193,0.0006093845216331506,0.0018281535648994515,1018.0029429075927,0.002437538086532602,7409.0
90063,192826.39,0.32,1208,576,0,0,0,0,0,0,0,0,0,12789,2,1437173,1840,728.8384744812114,7.172742568704431,0.0,0.0,0.0011217049915872126,781.0722826086957,0.0011217049915872126,6394.5
90064,495892.49,0.41,1806,1079,66,0,0,0,0,460000,2,17749,1,0,0,5520408,2943,1686.7991192411923,0.0,161.83909214092142,0.0010162601626016261,0.0,1875.7757390417942,0.0010162601626016261,159249.66666666666
90065,292377.91,1.11,1444,1533,448,694,20,0,0,474674,6,0,0,3411,1,5069473,4223,1078.0553273737619,0.824112104373037,114.68325682532013,0.001449625513409036,0.00024160425223483932,1200.4435235614492,0.0016912297656438754,68297.85714285714
90066,376392.66,0.35,3034,1581,12,0,0,0,0,9450,1,0,0,0,0,6203895,4658,1213.7601037389238,0.0,2.042360060514372,0.0002161227577263886,0.0,1331.8795620437957,0.0002161227577263886,9450.0
90068,581838.6,1.79,394,1057,702,980,88,0,0,56900,1,0,0,0,0,10695093,3303,2941.655590062112,0.0,17.67080745341615,0.00031055900621118014,0.0,3237.993642143506,0.00031055900621118014,56900.0
90069,961682.89,1.35,297,371,376,147,18,0,0,5842,1,0,0,0,0,7602666,1270,5511.685430463576,0.0,4.836092715231788,0.0008278145695364238,0.0,5986.351181102362,0.0008278145695364238,5842.0
90077,1204338.37,2.41,5,450,262,824,170,0,0,131403,1,0,0,0,0,14013614,1757,7578.309760374051,0.0,76.7989479836353,0.0005844535359438924,0.0,7975.875924871941,0.0005844535359438924,131403.0
90201,189299.63,0.37,1317,780,0,1,0,5999,1,4737,1,0,0,61588,12,1540831,2124,671.7454718779791,29.355576739752145,5.117254528122021,0.0009532888465204957,0.005719733079122974,725.4383239171375,0.00667302192564347,5166.0
90210,1646197.33,1.87,541,830,667,895,295,0,0,23764,1,0,0,0,0,36270532,3249,10266.876742025395,0.0,7.3595540414989165,0.0003096934035305048,0.0,11163.59864573715,0.0003096934035305048,23764.0
90220,177497.15,0.31,2187,993,0,0,0,0,0,87764,2,0,0,350,1,2798167,3211,787.0298742138365,0.11006289308176101,27.59874213836478,0.0006289308176100629,0.00031446540880503143,871.4316412332606,0.0009433962264150943,29371.333333333332
90221,179268.17,0.34,1838,937,0,0,0,0,0,257405,3,0,0,12636,3,2333056,2809,770.6198198198198,4.553513513513513,92.75855855855856,0.001081081081081081,0.001081081081081081,830.564613741545,0.002162162162162162,45006.833333333336
90222,167301.61,0.31,1233,557,0,0,0,2484,1,5244,1,1530,1,6316,1,1506179,1821,767.5983240223463,3.528491620111732,5.172067039106145,0.0016759776536312849,0.0005586592178770949,827.116419549698,0.0022346368715083797,3893.5
90240,319480.11,0.33,1784,894,1,0,0,8047,1,10580,1,0,0,26502,4,2888739,2661,992.5640164240389,9.892497200447929,6.952967525195969,0.0007465472191116088,0.0014930944382232176,1085.5839909808342,0.0022396416573348264,7521.5
90241,298794.05,0.33,2101,1032,0,1,0,13882,1,39424,2,0,0,24484,3,3107267,3132,911.726547543076,7.81238034460753,17.008934269304405,0.0009572431397574984,0.0009572431397574984,992.10312899106,0.0019144862795149968,12965.0
90242,232588.66,0.3,2222,937,1,0,0,0,0,66233,2,0,0,15464,3,2534874,3160,741.0705696202532,4.89367088607595,20.95981012658228,0.0006329113924050633,0.0009493670886075949,802.1753164556962,0.0015822784810126582,16339.4
90245,395952.32,0.54,660,777,1,0,0,0,0,853624,4,0,0,0,0,1792744,1441,1138.9089012517386,0.0,593.6189151599443,0.0027816411682892906,0.0,1244.0971547536433,0.0027816411682892906,213406.0
90247,221298.23,0.3,1555,664,0,0,0,0,0,885,1,0,0,0,0,1899447,2234,762.0058558558559,0.0,0.39864864864864863,0.00045045045045045046,0.0,850.2448522829006,0.00045045045045045046,885.0
90249,225767.48,0.28,1719,669,0,0,0,0,0,0,0,0,0,7020,1,2006757,2388,776.2852953498115,2.940930037704231,0.0,0.0,0.00041893590280687055,840.3505025125628,0.00041893590280687055,7020.0
90250,234099.19,0.26,3672,1292,1,0,0,16670,2,34788,2,22152,1,0,0,4170911,4978,774.6596173212488,0.0,14.8257804632427,0.0010070493454179255,0.0,837.8688228204098,0.0010070493454179255,14722.0
90255,208445.48,0.37,1326,765,0,0,0,0,0,59389,3,0,0,23424,4,1693370,2165,727.9727403156385,11.20229555236729,28.402199904351985,0.0014347202295552368,0.001912960306073649,782.1570438799076,0.003347680535628886,11830.42857142857
90260,218524.19,0.27,1367,499,0,0,0,11662,2,152955,1,8064,1,0,0,1461416,1880,724.5900321543409,0.0,92.54072883172562,0.0021436227224008574,0.0,777.3489361702127,0.0021436227224008574,43170.25
90262,186526.82,0.35,2034,1110,0,0,0,0,0,84972,4,0,0,110570,18,2400370,3183,699.1854325699745,35.16857506361323,27.02671755725191,0.001272264631043257,0.0057251908396946565,754.1218975808986,0.006997455470737914,8888.272727272728
90265,1075407.03,2.03,142,633,799,773,113,0,0,33269,1,46729,1,0,0,15665538,2339,6548.723577235773,0.0,32.51951219512195,0.0008130081300813008,0.0,6697.536554082942,0.0008130081300813008,39999.0
90266,683440.29,0.57,2256,2544,141,0,0,0,0,12640,1,0,0,0,0,11103405,4959,2010.5952236389394,0.0,2.558186601902449,0.00020238818053025704,0.0,2239.041137326074,0.00020238818053025704,12640.0
90270,178790.13,0.38,455,284,0,0,0,0,0,0,0,0,0,61144,14,531419,763,648.9634146341464,82.8509485094851,0.0,0.0,0.018970189701897018,696.4862385321101,0.018970189701897018,4367.428571428572
90272,1000699.65,1.58,375,1768,838,704,103,0,0,27391,1,0,0,0,0,19442285,3909,4439.012407602957,0.0,7.230992608236536,0.00026399155227032733,0.0,4973.7234586850855,0.00026399155227032733,27391.0
90274,791727.38,0.74,1596,2249,303,93,4,0,0,217079,3,0,0,0,0,11275532,4343,2368.4895170789164,0.0,51.13757361601885,0.0007067137809187279,0.0,2596.2542021644026,0.0007067137809187279,72359.66666666667
90275,528904.14,0.56,2865,2831,208,29,2,0,0,1223,1,0,0,0,0,10286616,5992,1577.5780960404381,0.0,0.20606571187868578,0.00016849199663016007,0.0,1716.7249666221628,0.00016849199663016007,1223.0
90278,342633.65,0.44,1965,1506,6,0,0,0,0,58015,1,0,0,0,0,3964978,3468,1037.0917457578373,0.0,16.685360943341962,0.0002876042565429968,0.0,1143.3039215686274,0.0002876042565429968,58015.0
90280,188591.61,0.37,2896,1668,3,0,0,29561,3,148644,5,800,1,82392,13,3480499,4629,698.0665644843442,18.040726954236916,39.195314210641556,0.0019706590759798557,0.0028465075541931244,751.8900410455822,0.00481716663017298,11881.681818181818
90291,454136.5,0.44,1297,794,87,0,0,0,0,95885,2,0,0,0,0,4232135,2232,1752.6813590449954,0.0,44.02433425160698,0.0009182736455463728,0.0,1896.1178315412187,0.0009182736455463728,47942.5
90302,233106.29,0.36,665,368,1,0,0,0,0,486983,2,0,0,0,0,1047367,1047,926.4816247582205,0.0,470.97001934235976,0.0019342359767891683,0.0,1000.3505253104107,0.0019342359767891683,243491.5
90303,224678.86,0.33,839,417,1,0,0,0,0,3527,1,0,0,0,0,1194247,1280,865.5250596658711,0.0,2.805887032617343,0.0007955449482895784,0.0,933.00546875,0.0007955449482895784,3527.0
90304,196500.48,0.28,656,253,0,0,0,0,0,64243,1,0,0,0,0,788800,948,776.2277227722773,0.0,70.67436743674368,0.0011001100110011,0.0,832.0675105485232,0.0011001100110011,64243.0
90305,279759.03,0.35,1078,586,0,0,0,0,0,103437,2,0,0,0,0,1857581,1681,1020.1760817307693,0.0,62.16165865384615,0.001201923076923077,0.0,1105.0452111838192,0.001201923076923077,51718.5
90403,604582.69,0.54,283,241,28,1,0,0,0,126209,1,0,0,0,0,1373846,573,2152.9494584837544,0.0,227.81407942238266,0.0018050541516245488,0.0,2397.6369982547994,0.0018050541516245488,126209.0
90405,444622.93,0.44,1015,714,26,0,0,19123,1,659853,2,1053,1,0,0,3008184,1759,1566.8232611174458,0.0,387.7018244013683,0.002280501710376283,0.0,1710.1671404206936,0.002280501710376283,170007.25
90501,285394.92,0.4,1739,1146,1,0,0,0,0,2753,1,0,0,0,0,2797286,2901,873.4038794596466,0.0,0.9535850363699342,0.00034638032559750607,0.0,964.2488796966563,0.00034638032559750607,2753.0
90503,312223.34,0.46,1826,1524,1,0,0,0,0,3807,1,0,0,0,0,3379192,3347,922.9859701492537,0.0,1.1364179104477612,0.00029850746268656717,0.0,1009.6181655213625,0.00029850746268656717,3807.0
90504,266537.86,0.38,1965,1214,0,1,0,0,0,40571,2,0,0,0,0,2714200,3186,771.4040880503145,0.0,12.758176100628932,0.0006289308176100629,0.0,851.9146264908977,0.0006289308176100629,20285.5
90505,347335.05,0.44,1946,1508,5,0,0,17209,1,109293,3,0,0,0,0,3930073,3472,1024.137941006362,0.0,36.582417582417584,0.001156737998843262,0.0,1131.9334677419354,0.001156737998843262,31625.5
90601,286969.42,0.91,1295,1360,255,339,20,0,0,513955,3,0,0,55438,7,4163883,3305,1138.4493728969103,16.958702967268277,157.22086264912818,0.0009177118384827164,0.0021413276231263384,1259.8738275340393,0.0030590394616090547,56939.3
90603,292195.84,0.75,1265,1178,126,221,0,10785,1,23337,1,0,0,0,0,3091682,2780,1001.9673718178559,0.0,12.23449264969523,0.0007171029042667623,0.0,1112.1158273381295,0.0007171029042667623,17061.0
90604,239422.68,0.3,3102,1316,0,0,0,9320,1,49633,1,5070,1,22879,4,3835695,4359,804.4266636487098,5.178587596197374,14.491398822996832,0.000679040289723857,0.0009053870529651426,879.9483826565726,0.0015844273426889996,12414.57142857143
90605,255432.98,0.5,2412,1460,109,118,2,4951,1,0,0,0,0,58981,10,4265865,4096,941.2133625944891,14.382101926359425,1.2072665203608877,0.000243842965130456,0.00243842965130456,1041.470947265625,0.0026822726164350157,5812.0
90606,204053.08,0.33,2090,1023,1,0,0,15281,1,0,0,0,0,14029,5,2557248,3114,759.8291586384072,4.505138086062941,4.907193320488118,0.0003211303789338471,0.0016056518946692357,821.2100192678228,0.0019267822736030828,4885.0
90620,239756.5,0.31,3603,1650,1,0,0,0,0,10259,1,0,0,3387,1,4619390,5186,813.3863722877808,0.6446516939474686,1.9526075371145795,0.00019033117624666921,0.00019033117624666921,890.7423833397609,0.00038066235249333843,6823.0
90623,323993.75,0.3,1394,612,0,0,0,7674,1,3661,1,0,0,15154,2,2041754,1982,940.8953140578266,7.554336989032901,5.650548354935195,0.0009970089730807576,0.0009970089730807576,1030.1483350151361,0.0019940179461615153,6622.25
90630,293204.13,0.34,3166,1644,1,0,0,20167,1,489686,2,0,0,0,0,4899048,4766,936.4128039908543,0.0,105.97651215963417,0.0006235709831635835,0.0,1027.916072177927,0.0006235709831635835,169951.0
90631,328968.22,0.83,3318,2237,930,569,21,18232,1,65723,1,6569,1,0,0,8231458,7058,1045.756183745583,0.0,12.794911660777386,0.00042402826855123676,0.0,1166.2592802493625,0.00042402826855123676,30174.666666666668
90638,263542.47,0.34,3956,1954,35,0,0,5008,1,196187,4,0,0,14094,1,5760396,5843,898.9180824222035,2.370731707317073,33.842724978973926,0.0008410428931875525,0.0001682085786375105,985.8627417422557,0.001009251471825063,35881.5
90640,254036.27,0.38,2375,1291,47,5,0,320717,5,9903,1,92962,2,72259,11,3381608,3692,840.1968800430338,19.43491124260355,113.92738031199569,0.002151694459386767,0.0029585798816568047,915.9284940411701,0.005110274341043572,26096.894736842107
90650,194457.02,0.28,6930,2745,0,0,0,5868,2,398662,11,1896,1,22993,4,7066861,9662,675.8797932816537,2.3765374677002584,42.007855297157626,0.0014470284237726098,0.00041343669250645994,731.4076795694473,0.0018604651162790699,23856.61111111111
90660,206802.53,0.36,3614,1983,4,1,0,36692,4,87747,3,212,1,48335,9,4494895,5616,735.0108909123371,8.62970898053919,22.25513301196215,0.0014283163720764148,0.0016068559185859668,800.3730413105413,0.003035172290662382,10175.64705882353
